"","Seed.code","Tree.code","Island","Tree.species.code","Order.x","Family.x","Genus.x","Species.x","Latitude","Longitude","Site","Date..DD.MM.YYYY.","Type.of.sample..F.fruit.S.seed","Successional.Stage..1.immature.2.mature.3.rotten.4.all.preceding","Fruits.collected.from..G.ground.T.tree","Fruit.syndrome","Total.number.of.fruits.collected","Total.number.of.seeds","Weight.of.all.seeds.g","Date.opening.seed..dd.mm.yy.","Number.of.fruits.predated","Holes.visable","Frass.visable","Percentage.fruits.predated","Insect.code","Date.emerged..for.R.only..DD.MM.YY.","Species.code","Order.y","Family.y","Subfamily","Genus.y","Species.y","Guild","Life.stage..L.larva.A.adult.P.pupae","BIN","Host.from.lit","Reference","Found.in.box.with","Suggested.host"
"16","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2218","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"17","SEEDGUA_0004","TREEGUA_0004","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54356699,144.933972,"Anao","06/09/2017","F",2,"T","A1.1",11,14.3,13.2293,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1390","14/09/2017","CARMU","Coleoptera","Nitidulidae","Carpophilinae","Carpophilus","mutilatus","UK","A","BOLD:ACD5031","","","",""
"19","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1384","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"20","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1385","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"21","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1386","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"22","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1387","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"23","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1388","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"24","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1389","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
"25","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1605","14/09/2017","JUVEN","Larvae","Unknown","Unknown","Unknown","sp.1","UK","L","","","","",""
"26","SEEDGUA_0006","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",1,"T","A1.1",1,1.3,0.4482,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","SEEDGUA_0007","TREEGUA_0006","GUAM","PSYCMA","","Rubiaceae","Psychotria","mariana",13.54373798,144.933824,"Anao","06/09/2017","F",1,"T","B1",50,100,7.63,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","SEEDGUA_0013","TREEGUA_0009","GUAM","AGLAMA","Sapindales","Meliaceae","Aglaia","mariannensis",13.54476199,144.933318,"Anao","06/09/2017","F",2,"T","A1.1",7,9.8,16.0539,"18/12/1017",3,"Y","Y",0.428571428571429,"INSECTGUA_0713","18/12/2017","RIOSP1","Lepidoptera","Riodinidae","","Unknown","sp.1","UK","A","","","","",""
"29","SEEDGUA_0014","TREEGUA_0009","GUAM","AGLAMA","Sapindales","Meliaceae","Aglaia","mariannensis",13.54476199,144.933318,"Anao","06/09/2017","F",1,"T","A1.1",5,7,8.8702,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","SEEDGUA_0015","TREEGUA_0010","GUAM","NEISOP","Gentianales","Apocynaceae","Ochrosia","oppositifolia",13.54475898,144.933306,"Anao","06/09/2017","F",2,"T","A2.1",1,1,41.5905,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","SEEDGUA_0017","TREEGUA_0010","GUAM","NEISOP","Gentianales","Apocynaceae","Ochrosia","oppositifolia",13.54475898,144.933306,"Anao","06/09/2017","F",1,"G","A2.1",1,1,25.5371,"18/12/1017",1,"Y","Y",1,"INSECTGUA_1955","18/12/2017","JUVEN","Larvae","Unknown","Unknown","Unknown","sp.1","UK","L","","","","",""
"32","SEEDGUA_0017","TREEGUA_0010","GUAM","NEISOP","Gentianales","Apocynaceae","Ochrosia","oppositifolia",13.54475898,144.933306,"Anao","06/09/2017","F",1,"G","A2.1",1,1,25.5371,"18/12/1017",1,"Y","Y",1,"INSECTGUA_1956","18/12/2017","JUVEN","Larvae","Unknown","Unknown","Unknown","sp.1","UK","L","","","","",""
"33","SEEDGUA_0018","TREEGUA_0011","GUAM","PSYCMA","","Rubiaceae","Psychotria","mariana",13.54477004,144.933312,"Anao","06/09/2017","F",1,"T","B1",21,42,4.3638,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","SEEDGUA_0019","TREEGUA_0011","GUAM","PSYCMA","","Rubiaceae","Psychotria","mariana",13.54477004,144.933312,"Anao","06/09/2017","F",2,"T","B1",15,30,5.1465,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","SEEDGUA_0020","TREEGUA_0011","GUAM","PSYCMA","","Rubiaceae","Psychotria","mariana",13.54477004,144.933312,"Anao","06/09/2017","F",2,"G","B1",1,2,0.2999,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0665","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"37","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0666","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"38","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0667","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"39","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0668","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"40","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0669","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"41","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0670","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"42","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0671","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"43","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0672","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"44","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0673","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"45","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0674","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"46","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0675","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"47","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0676","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"48","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0677","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"49","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0678","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","P","","","","",""
"50","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0679","18/12/2017","JUVEN","Larvae","Unknown","Unknown","Unknown","sp.1","UK","L","","","","",""
